  40.0000000000   40.0000000000   40.0000000000
   0.0000000000    0.0000000000    0.0000000000
   0.0256410256    0.0256410256    0.0256410256
   0.0512820513    0.0512820513    0.0512820513
   0.0769230769    0.0769230769    0.0769230769
   0.1025641026    0.1025641026    0.1025641026
   0.1282051282    0.1282051282    0.1282051282
   0.1538461538    0.1538461538    0.1538461538
   0.1794871795    0.1794871795    0.1794871795
   0.2051282051    0.2051282051    0.2051282051
   0.2307692308    0.2307692308    0.2307692308
   0.2564102564    0.2564102564    0.2564102564
   0.2820512821    0.2820512821    0.2820512821
   0.3076923077    0.3076923077    0.3076923077
   0.3333333333    0.3333333333    0.3333333333
   0.3589743590    0.3589743590    0.3589743590
   0.3846153846    0.3846153846    0.3846153846
   0.4102564103    0.4102564103    0.4102564103
   0.4358974359    0.4358974359    0.4358974359
   0.4615384615    0.4615384615    0.4615384615
   0.4871794872    0.4871794872    0.4871794872
   0.5128205128    0.5128205128    0.5128205128
   0.5384615385    0.5384615385    0.5384615385
   0.5641025641    0.5641025641    0.5641025641
   0.5897435897    0.5897435897    0.5897435897
   0.6153846154    0.6153846154    0.6153846154
   0.6410256410    0.6410256410    0.6410256410
   0.6666666667    0.6666666667    0.6666666667
   0.6923076923    0.6923076923    0.6923076923
   0.7179487179    0.7179487179    0.7179487179
   0.7435897436    0.7435897436    0.7435897436
   0.7692307692    0.7692307692    0.7692307692
   0.7948717949    0.7948717949    0.7948717949
   0.8205128205    0.8205128205    0.8205128205
   0.8461538462    0.8461538462    0.8461538462
   0.8717948718    0.8717948718    0.8717948718
   0.8974358974    0.8974358974    0.8974358974
   0.9230769231    0.9230769231    0.9230769231
   0.9487179487    0.9487179487    0.9487179487
   0.9743589744    0.9743589744    0.9743589744
   1.0000000000    1.0000000000    1.0000000000
